epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7837,1.48107,2.923,1.62363,1.39868,0.38881,0.26713,0.24351,0.12031,0.04461,0.04013,0.0063,0.0023,1.66664,47.2527,3.4523,1.58995,0.0901313,9.96835e-05,9.96835e-05
2,117.264,1.41446,2.60958,1.36841,1.36178,0.60566,0.48226,0.50668,0.25974,0.49176,0.36915,0.33887,0.10946,1.62038,4.32006,1.61203,1.56073,0.0802307,0.000199025,0.000199025
3,166.289,1.41243,2.55353,1.33134,1.3692,0.52327,0.52388,0.48921,0.24591,0.32251,0.32288,0.21472,0.07326,1.68444,6.17557,1.51425,1.55531,0.0703294,0.000297706,0.000297706
4,214.611,1.42031,2.54657,1.31722,1.38056,0.45245,0.41327,0.38409,0.1952,0.4421,0.32935,0.29467,0.12199,1.74699,4.06041,1.90612,1.69459,0.0604274,0.000395727,0.000395727
5,263.042,1.40526,2.51209,1.28307,1.37918,0.4048,0.40995,0.32648,0.14217,0.39882,0.38549,0.29982,0.10431,1.94077,3.20818,1.88719,1.79029,0.0505247,0.000493088,0.000493088
6,307.297,1.35855,2.43689,1.23379,1.35398,0.5772,0.50614,0.53647,0.2983,0.56364,0.49121,0.50685,0.22946,1.50382,2.80082,1.45451,1.49885,0.0406214,0.000589789,0.000589789
7,351.097,1.35887,2.42688,1.22464,1.34783,0.69399,0.58972,0.64292,0.3443,0.6913,0.57745,0.62508,0.29114,1.50922,2.37402,1.22531,1.45011,0.0307175,0.00068583,0.00068583
8,396.797,1.3533,2.4094,1.21394,1.34428,0.71042,0.57203,0.64251,0.36344,0.70235,0.56086,0.61956,0.29964,1.41781,2.42486,1.20543,1.3763,0.0208129,0.000781211,0.000781211
9,442.515,1.34092,2.40135,1.20385,1.3412,0.67147,0.56062,0.60643,0.33601,0.69163,0.52537,0.57671,0.27564,1.53376,2.60716,1.28657,1.49122,0.0109076,0.000875932,0.000875932
10,487.911,1.34539,2.38866,1.20191,1.34007,0.6372,0.51542,0.56417,0.30901,0.64111,0.51542,0.55484,0.26174,1.50012,2.58215,1.37185,1.44081,0.00100164,0.000969993,0.000969993
11,533.766,1.34434,2.37702,1.18649,1.34058,0.7036,0.57512,0.64096,0.36131,0.71131,0.58143,0.63908,0.31701,1.45129,2.2994,1.18861,1.42063,0.000967,0.000967,0.000967
12,579.53,1.3408,2.36846,1.17257,1.33121,0.65531,0.53367,0.57543,0.30886,0.64006,0.52769,0.55439,0.23264,1.48767,2.63228,1.30569,1.40607,0.0009637,0.0009637,0.0009637
13,625.524,1.32636,2.35114,1.17157,1.33122,0.65716,0.56219,0.60327,0.3404,0.63816,0.54594,0.5689,0.26963,1.49343,2.53294,1.30845,1.44912,0.0009604,0.0009604,0.0009604
14,671.82,1.32533,2.34057,1.15801,1.3245,0.68962,0.61161,0.6552,0.36674,0.68911,0.59967,0.63419,0.29415,1.41586,2.55364,1.17666,1.36322,0.0009571,0.0009571,0.0009571
15,717.878,1.30983,2.32894,1.15376,1.32059,0.73873,0.61051,0.677,0.40306,0.73531,0.59834,0.66786,0.33974,1.36712,2.2427,1.07297,1.3234,0.0009538,0.0009538,0.0009538
16,763.821,1.30053,2.30106,1.13097,1.31614,0.72768,0.61243,0.67795,0.39579,0.71927,0.6073,0.66237,0.33536,1.36383,2.23905,1.08343,1.32324,0.0009505,0.0009505,0.0009505
17,809.401,1.30642,2.31416,1.13307,1.31446,0.74883,0.55177,0.65407,0.39959,0.72814,0.55954,0.64378,0.33502,1.31948,2.20831,1.14064,1.30469,0.0009472,0.0009472,0.0009472
18,855.278,1.29947,2.30768,1.13231,1.31939,0.73532,0.60796,0.67679,0.39756,0.73426,0.58441,0.64654,0.31445,1.39067,2.37995,1.06312,1.35268,0.0009439,0.0009439,0.0009439
