epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.312,3.64963,5.30041,3.54201,2.04318,0.02667,0.02477,0.01374,0.0063,0.03333,0.03096,0.01732,0.00393,2.90972,4.26765,3.51317,1.59369,0.00018,0.00018,0.00018
2,56.953,3.46896,4.6841,3.51383,1.86768,0.08,0.0743,0.0446,0.01614,0.04,0.03715,0.02241,0.00659,3.05113,4.50373,3.40764,1.34467,0.000376238,0.000376238,0.000376238
3,76.4432,3.21935,4.42963,3.47856,1.69,0.08,0.0743,0.0431,0.0169,0.03333,0.03096,0.02202,0.00606,2.9467,4.41313,3.37415,1.28601,0.000568516,0.000568516,0.000568516
4,95.1275,3.14621,4.16887,3.43474,1.62478,0.05333,0.04954,0.02828,0.01093,0.05667,0.05263,0.03228,0.0072,2.8422,3.57259,3.37081,1.28495,0.000756834,0.000756834,0.000756834
5,118.042,3.18838,4.08834,3.38543,1.58126,0.05333,0.04954,0.02828,0.01093,0.05667,0.05263,0.03228,0.0072,2.8422,3.57259,3.37081,1.28495,0.000941192,0.000941192,0.000941192
6,139.849,2.88,3.66888,3.33546,1.47802,0.06,0.05573,0.03401,0.01135,0.06333,0.05882,0.03481,0.00729,2.72629,3.5926,3.39646,1.39397,0.00112159,0.00112159,0.00112159
7,166.93,2.98013,3.73255,3.31154,1.50093,0.06,0.05573,0.03401,0.01135,0.06333,0.05882,0.03481,0.00729,2.72629,3.5926,3.39646,1.39397,0.00129803,0.00129803,0.00129803
8,195.577,2.92958,3.61266,3.28986,1.45891,0.05667,0.05263,0.03454,0.01173,0.05,0.04644,0.02761,0.00721,2.78505,3.66156,3.34532,1.50871,0.00147051,0.00147051,0.00147051
9,224.756,2.78375,3.51453,3.16168,1.39624,0.05667,0.05263,0.03454,0.01173,0.05,0.04644,0.02761,0.00721,2.78505,3.66156,3.34532,1.50871,0.00163902,0.00163902,0.00163902
10,263.949,2.79823,3.4417,3.18169,1.40806,0.05667,0.05263,0.03454,0.01173,0.05,0.04644,0.02761,0.00721,2.78505,3.66156,3.34532,1.50871,0.00180358,0.00180358,0.00180358
11,300.15,2.90787,3.69505,3.17285,1.39654,0.05667,0.05263,0.03454,0.01173,0.05,0.04644,0.02761,0.00721,2.78505,3.66156,3.34532,1.50871,0.001802,0.001802,0.001802
12,334.102,2.79958,3.29653,3.04129,1.36506,0.09667,0.08978,0.05491,0.0197,0.09667,0.08978,0.06003,0.01739,2.90124,3.84258,3.00633,1.52333,0.0017822,0.0017822,0.0017822
13,373.199,2.73462,3.29197,3.0262,1.3662,0.09667,0.08978,0.05491,0.0197,0.09667,0.08978,0.06003,0.01739,2.90124,3.84258,3.00633,1.52333,0.0017624,0.0017624,0.0017624
14,415.266,2.8889,3.54748,3.02153,1.38323,0.09667,0.08978,0.05491,0.0197,0.09667,0.08978,0.06003,0.01739,2.90124,3.84258,3.00633,1.52333,0.0017426,0.0017426,0.0017426
15,457.799,2.76941,3.19555,2.94348,1.35294,0.13333,0.12384,0.09799,0.0315,0.1614,0.09907,0.10365,0.02592,2.88954,3.70897,2.70624,1.41443,0.0017228,0.0017228,0.0017228
